Nationality;Discipline;Last Name;First Name;Age
CRO;ATH;MARKOVIC;MARTIN;29
CRO;BOX;VEOCIC;GABRIJEL;24
CRO;SAL;DOLENC;MARTIN;25
CRO;TTE;GACINA;ANDREJ;39
CRO;TTE;GACINA;ANDREJ;39
CUB;BOX;LOPEZ CARDONA;ARLEN;32
CYP;GRY;TUGOLUKOVA;VERA;17
CZE;ATH;STANEK;TOMAS;34
CZE;ATH;MANUEL;LURDES GLORIA;20
CZE;ATH;OGRODNIKOVA;NIKOLA;35
DEN;CRD;BJERG;MIKKEL NORSGAARD;27
DEN;CRD;BJERG;MIKKEL NORSGAARD;27
DEN;CTR;LARSEN;NIKLAS;28
DEN;CTR;PEDERSEN;RASMUS LUND;27
DEN;ROW;NIELSEN;FRIDA SANGGAARD;27
DEN;SWM;BACH;HELENA ROSENDAHL;25
ECU;ATH;CAICEDO;NICOLE;25
ECU;WRE;MONTANO ARROYO;ANDRES ROBERTO;35
EGY;BOX;AYYAD;YOMNA;22
EGY;CSP;AHMED;SAMAA;27
EGY;FBL;OMAR FAYED;;22
EGY;FEN;MOATAZ;ADHAM;22
EGY;HBL;ELWAKIL;OMAR;37
EGY;SHO;MOHAMMED;NOUR ABBAS;28
EGY;SWA;ABDELBARY;FARIDA;19
IRI;WLF;JAMALI GALEH;YEKTA;21
ESP;ATH;GARCIA;DAVID;20
ESP;ATH;MAAYOUF;MAJIDA;36
ESP;CRD;LAZKANO LOPEZ;OIER;26
ESP;FBL;CAMELLO;SERGIO;24
ESP;FBL;LOPEZ;FERMIN;22
ESP;HBL;ARCOS;PAULA;24
ESP;JUD;MOSAKHLISHVILI;TRISTANI;28
ESP;JUD;TSUNODA ROUSTANT;AI;23
ESP;SWA;OZHOGINA OZHOGIN;ALISA;25
ESP;SWM;CABANES GARZAS;LAURA;20
FIJ;RU7;TALACOLO;JOSEVA;28
FIJ;RU7;DONU;SESENIELI;29
FIN;BOX;KAIVO-OJA;PIHLA;23
FRA;ARC;CHIRAULT;THOMAS;28
FRA;ATH;MOUTARD;CAMILLE;24
FRA;ATH;PARISOT;HELENE;33
FRA;BKB;CHERY;ALEXIA;27
FRA;CSL;CASTRYCK;TITOUAN;21
FRA;CTR;COPPONI;CLARA;26
FRA;EQU;DELESTRE;SIMON;44
FRA;FBL;KALIMUENDO;ARNAUD;23
FRA;SAL;LECOINTRE;CAMILLE;40
FRA;SWM;GASTALDELLO;BERYL;30
FRA;VVO;OLINGA ANDELA;LEANDRA;28
GAM;ATH;BASS BITTAYE;GINA MARIAM;30
GBR;ATH;AZU;JEREMIAH;24
GBR;ATH;EVANS;CLARA;32
GUA;MPN;HERNANDEZ;SOPHIA;28
HKG;CTR;LEE;SZE WING;24
HKG;ROW;CHIU;HIN CHUN;31
HUN;ATH;GYURATZ;REKA;29
HUN;CSP;TOTKA;SANDOR;31
HUN;CSP;GAZSO;ALIDA DORA;25
HUN;HBL;SZITA;ZOLTAN;27
HUN;HBL;VAMOS;PETRA;25
HUN;WPO;HARAI;BALAZS;38
IND;ATH;KIRAN;PAHAL;25
IRL;EQU;LYLE;ABIGAIL;40
IRL;HOC;ROBSON;MICHAEL;30
IRL;ROW;CASEY;AOIFE;26
IRL;SWM;WALSHE;ELLEN;24
IRQ;FBL;AYMEN HUSSEIN;;29
ISR;FBL;YONA;ADI;21
ISR;JUD;HERSHKO;RAZ;27
ISR;JUD;HERSHKO;RAZ;27
ISR;SWM;BARZELAY;AVIV;23
ITA;ARC;NESPOLI;MAURO;38
ITA;ATH;SITO;LUCA;22
ITA;ATH;STECCHI;CLAUDIO MICHEL;34
ITA;ATH;DOSSO;ZAYNAB;26
ITA;ATH;EPIS;GIOVANNA;37
ITA;ATH;SARTORI;REBECCA;28
ITA;CTR;PATERNOSTER;LETIZIA;26
ITA;CTR;VECE;MIRIAM;28
ITA;DIV;BERTOCCHI;ELENA;31
ITA;FEN;DI VEROLI;DAVIDE;24
ITA;FEN;ERRIGO;ARIANNA;37
ITA;FEN;NAVARRIA;MARA;40
ITA;GAR;ABBADINI;YUMIN;24
ITA;JUD;ESPOSITO;ANTONIO;31
ITA;JUD;LOMBARDO;MANUEL;27
ITA;JUD;PIRAS;MATTEO;32
ITA;JUD;PIRELLI;GENNARO;25
ITA;JUD;BELLANDI;ALICE;27
ITA;JUD;SCUTTO;ASSUNTA;23
ITA;JUD;TAVANO;ASYA;23
ITA;ROW;FAELLA;ALESSANDRA;25
ITA;SAL;PIANOSI;RICCARDO;20
ITA;SAL;BANTI;CATERINA;38
ITA;TRI;POZZATTI;GIANLUCA;32
ITA;WLF;PIZZOLATO;ANTONINO;29
JAM;ATH;SMITH;ACKELIA;23
JAM;ATH;THOMAS-DODD;DANNIEL;33
JPN;BKG;SHIGEKIX;;23
KOR;TTE;JEON;JIHEE;33
KSA;ATH;TOLO;MOHAMED DAOUDA;24
LAT;CRD;CARBONARI;ANASTASIA;26
LBR;ATH;SIRLEAF;AKEEM;28
LUX;TTE;NI;XIA LIAN;62
MAR;CRD;ED DOGHMY;ACHRAF;26
MEX;GLF;LOPEZ BUTRON;MARIA;32
MEX;SWA;JIMENEZ GARCIA;JOANA;32
MEX;SWA;TOSCANO MILLAN;PAMELA NUZHET;25
MEX;TKW;SOUZA;DANIELA PAOLA;26
MGL;SWM;BATBAYAR;ENKHKHUSLEN;24
MGL;WRE;BOLDSAIKHAN;KHONGORZUL;24
MLI;FBL;TRAORE;BOUBACAR;24
MNE;SAL;DUKIC;MILIVOJ;32
MNE;WPO;RADOVIC;DURO;26
MNE;WPO;TESANOVIC;PETAR;27
NED;ARC;VAN DER WINKEL;LAURA;24
NED;ATH;AFRIFA;ELVIS;28
NED;ATH;NAGEEYE;ABDI;36
NED;ATH;VLOON;MENNO;31
NED;HBL;HAGGERTY;TAMARA;29
NED;MTB;TERPSTRA;ANNE;35
NED;ROW;METSEMAKERS;KOEN;33
NED;ROW;MOLENAAR;OLAV;26
NED;ROW;OFFEREINS;TINKA;32
NED;SWM;SIMONS;KENZO;24
NED;SWM;TJON-A-JOE;RENZO;30
NED;SWM;VAN KOOTEN;JANNA;21
NED;TRI;KINGMA;MAYA;30
NED;TTE;EERLAND;BRITT;31
NED;VVO;REESINK;FLORIEN;27
NED;WPO;KEUNING;MAARTJE;27
NGR;ATH;BRUME;ESE;29
NOR;MTB;ROEHME;KNUT;26
NOR;ROW;HELSETH;MARTIN;31
NZL;ATH;TANNER;SAMUEL;25
NZL;CRD;STRONG;CORBIN JOHN;25
NZL;CRD;CADZOW;KIM;24
NZL;CTR;ANDREWS;ELLESSE;26
NZL;EQU;PRICE;TIM;46
