Nom_Site;Sports;point_geo;Nb_sports;link
Arena Paris Sud 6;Handball (HBL), Haltérophilie (WLF);48.829381, 2.290865;2;Arena_Paris_Sud_6.html
Centre Aquatique;Natation artistique (SWA), Plongeon (DIV), Water-polo (WPO);48.923723, 2.35578;3;Centre_Aquatique.html
La Concorde 2;BMX freestyle (BMF);48.86504456, 2.32119516;1;La_Concorde_2.html
Stade Pierre Mauroy;Basketball (BKB), Handball (HBL);50.61190661, 3.13047318;2;Stade_Pierre_Mauroy.html
Trocadéro;Athlétisme marche (ATW), Cyclisme sur route - Course sur route (CRD);48.85972558, 2.29221884;2;Trocadro.html
Arena Porte de la Chapelle;Badminton (BDM), Gymnastique rythmique (GRY);48.8997292, 2.3605141;2;Arena_Porte_de_la_Chapelle.html
Stade Roland Garros;Tennis (TEN), Boxe (BOX);48.845968, 2.253522;2;Stade_Roland_Garros.html
Stade de France;Athlétisme (ATH), Rugby à 7 (RU7), Cérémonie de clôture (OCC);48.924475, 2.360127;3;Stade_de_France.html
Stade Tour Eiffel;Cécifoot (PFBB);48.85613, 2.2978;1;Stade_Tour_Eiffel.html
Grand Palais;Escrime fauteuil (PWFE), Para Taekwondo (PTKW);48.86616355, 2.3125474;2;Grand_Palais.html
